review,target
"b'La Maman et la Putain has to be watched as a movie that is both related to the time it was released (post-68) and eternal in many respects. True, the actors don\'t ""act"" ... True, they talk a lot... But what they talk about is just what makes life worth living... or dying. The very long monologue spoken by Fran\xc3\xa7oise Lebrun is perhaps the most accurate and moving text that was ever written about womanhood, manhood and love. Not easy to translate accurately, though. This movie is a statement about the difficulty of being a man and a woman (or two women in this case). And IMHO, Jean Pierre L\xc3\xa9aud is one of the greatest French actors.'",1
"b'Not as bad as ""Bone Sickness""<br /><br />well ...yeah it is.<br /><br />This movie is bad.<br /><br />Very bad!!!<br /><br />The director did\'nt even want his name on it but put it on it since the crew asked him to. That should be all you need to know.<br /><br />I love horror ...just so you know. I love a lot of really bad horror, but this is not the good kind of bad in any way. Don\'t spend any money on this flick. By ""any money"" I mean ""ANY"" ! A penny would be too much. You have been warned!'",2
"b'Burlinson and Thornton give an outstanding performance in this movie, along with Dennehy. Although it is at first thought to be only about love, it really goes down deeper than that. The beauty of nature captures this movie, placing among one of the best I have ever seen. The horse scenes are absolutely fantastic!! Any horse-lovers out there will love this movie!<br /><br />'",1
"b'Okay, I saw this movie as a child and really loved it. My parents never purchased the movie for me, but I think I\'ll go about and buy it now. I\'m a sucker for pre-2000 animated films. Anyway, onto the actual review.<br /><br />WHAT I LIKED: There was an actual portrayal of heaven and hell, one of the few I\'ve seen in animated films. Character development existed! It\'s easy to classify characters in this movie (i.e.: Charlie is the selfish mutt, Itchy is cynical but believes Charlie, Carface is obviously the relentless villain, etc.). I also loved King Gator\'s song. I\'ve always loved loud, annoying, flamboyant guys. This song may have been random, but it was so fun. Finally, the detail of the animation was beautiful. You could tell Charlie was all gruff and stuff and the backgrounds were beautiful.<br /><br />WHAT I DID NOT LIKE: The actual portrayal of heaven: The way Charlie reacted to it, ""no surprises whatsoever"", made it actually seem very boring. He denied a place in heaven and STILL got to return to it in the end. I remember a few lines of certain songs such as ""... you can\'t keep a good dog down"", ""... let\'s make music forever"", and ""... welcome to being dead"" but I can\'t remember the majority of any of them. The songs weren\'t that catchy, to be honest. Whippet Angel: She\'s annoying and that NECK! AUGH!<br /><br />WHAT PARENTS MAY NOT LIKE: A few very scary (depending on the viewer) images of Hell are shown during the movie. Carface is quite threatening. Beer is also implied, but not actually DUBBED beer. Gambling is a key element in the movie. The good guy dies.<br /><br />OVERALL: I LOVE this movie, even if it is a bit forgettable at times. The scarier children\'s animations are always my favorite ones. This was created back in a time when producers and writers weren\'t afraid to give kids a little scare now and then. Nowadays, this probably would have been rated PG. Kids under the age of 8 (or easily disturbed kids) should not watch this. Other than that, I give it 9/10. :)<br /><br />Happy Viewing!'",1
"b'When I first heard about the show, I heard a lot about it, and it was getting some good reviews. I watched the first episode of this ""forensic fairy tale"", as it so proclaims itself, and I really got hooked on it. I have loved it since. This show has a good sense of humour and it\'s fun to see a good show like this. The cast is excellent as their characters, and I wouldn\'t want to change them in any way.<br /><br />For those unfamiliar with this show, Pushing Daisies centers around a man named Ned (aka The Pie Maker, played by Lee Pace) who discovered a special gift when he was a boy: He could bring the dead back to life with the touch of a finger. He first did so with his dog, Digby. However, there is the catch: If he keeps a dead person alive for more than one minute, someone else dies. He learned this when he brought his mother back to life, and his childhood crush\'s father died in Ned\'s mother\'s place. The other catch is if he touches the person again, they\'re dead again, but this time for good. He learned this when his mother kissed him goodnight. His father took him to boarding school, and when he left, Ned never saw his father again.<br /><br />Almost 20 years later, Ned owns a pie bakery, cleverly titled ""The Pie Hole."" A co-worker of Ned\'s, Olive Snook (Kristin Chenoweth) has a crush on Ned, but Ned rejects her moves, trying not to get close to anyone, learning from past experiences. Private Investigator Emerson Cod (Chi McBride) discovered the gift that Ned has, and decides to make him a partner in solving murders. Ned touches the victim, asks who killed them, and when the minute is up, he touches them again, and they solve it. That\'s how they usually solve it. Throughout the episodes, the murders have very interesting plots and be what people least expect.<br /><br />One day, Ned discovers that his next murder to solve is his childhood sweetheart, Charlotte ""Chuck"" Charles (Anna Friel). He brings her back to life and decides to break the rules and keep her alive. In her place, the funeral director, who stole jewelery from the corpses, died. When Emerson finds out, and when Chuck wants to help with solving the murders, he doesn\'t agree a bit--for a while, we hear him call Chuck \'Dead girl\'. This is all kept in secret from Olive, Chuck\'s aunts Vivian and Lily (Ellen Greene and Swoosie Kurtz, respectively), and everyone else for that matter, in case anyone recognized her from obituaries, the news, etc. Vivian and Lily, formerly synchronized swimmers, hadn\'t left the house in years. Emerson, Ned, and Chuck agree to work together. Ned and Chuck grow to love each other, though they can\'t touch each other ever again.<br /><br />This show is funny, has terrific characters, contains great plot twists, and will definitely get your spirits up. I hope it doesn\'t get cancelled at 13 episodes.'",1
"b'I couldn\'t believe Nicole Kidman would appear in something so contrived, so I reconsidered the role of the coincidences. If I\'ve stumbled on to what was intended, it\'s worthy of Charlie Kaufman or Philip K. Dick (is that good or bad?).<br /><br />In religions, reincarnation is a punishment; another chance to atone and reach ""nirvana."" There is suffering for prior sins, but no awareness of previous ""lives."" ""Birth,"" however, imagines that the coincidences (maybe written as ""divine"" or ""psychic"" interventions) enable the boy to slowly become aware of his previous incarnation, and then its sins. This time, his actions and sacrifice ultimately protect his ex-wife. In the end, she has forgiven the boy, although for a ""trick"" he didn\'t play. To a boy, the act of forgiveness perhaps would be enough, especially with the assistance of his psychiatrist, for him to resume a ""normal"" life. Hopefully any additional suffering caused his unwitting ex-wife wouldn\'t warrant ""Rebirth: Sean 3."" <br /><br />Should movies be so confusing and complicated? Even Ebert couldn\'t come up with a single interpretation supported by all the ""facts"" presented. Is understanding a movie, like revenge, a dish best served cold?'",2
"b'I saw this in the video store last night and the cover stated that this is the movie that influenced Tarantino\'s Kill Bill. After watching the film I think that the only way this could have influenced Tarantino is if he watched it and then said ""this is terrible, I bet I can do this a million times better"" and then did it a million times better.<br /><br />I can\'t believe how high this movie is rated. Of course there\'s no accounting for taste and everyone has his/her own opinion but this is not a movie that should be rated 8.3/10. I give this movie 2 out of 10, only because there are worst movies out there.<br /><br />It is clear I did not like this movie. People are talking about great direction and editing, good cinematography techniques and stuff like that. They must have seen a different movie because I didn\'t see anything like that. In most of the scenes the camera was out of focus, the picture was blurry and whenever a handheld camera was used I felt like I was in a boat in the ocean in the middle of a violent storm (ok I\'m exaggerating but you get the idea). My eyes actually hurt at some point.<br /><br />Now about the story<br /><br />**********WARNING - SPOILERS ************<br /><br />The story wasn\'t bad, especially the whole inner confrontation part, but it still left a lot to be desired. And the fact that there are some major holes in the script doesn\'t help either. Basically the story goes like this. 3 men and a woman murder a young woman\'s husband an then take her and torture and rape her for three days. One of them takes the woman with him and after a while she kills him for what he had done to her. She then sets out to kill the rest of the gang but is arrested and sent to prison. In prison she gives birth to a girl and we learn from the start that this girl only exists to avenge her mother. The girl begins training to be able to get revenge and after 20 years she sets out to find and kill the 3 remaining people that wronged her mother. <br /><br />The first man Lady Snowblood kills is one of the 3 villains she has devoted her life to killing. Wait, no, he is just a gang leader whith no connection to the story whatsoever that just happens to be there. As she kills him she says that this is his punishment for the crimes he commited against people. So she is a vigilante out to punish criminals? But from that point onward everything we see suggests that her sole purpose is the punishment of the people that wronged her mother. Her whole life is devoted to this. So her first kill has no purpose and is totally out of place. Maybe they just needed one more action scene.<br /><br />In search of the villains, she goes to a village in order to ask the village head about the whereabouts of the 3 people she is looking for. As soon as he says he probably can\'t help her she starts begging(!!!). Ok, maybe this is supposed to show her softer side but, in my opinion, a woman who is portrayed as a demon, not belonging to this world, and has devoted her whole life into becoming a killing machine in order to get her revenge, wouldn\'t beg in such a manner. Anyway, he finally agrees to help her.<br /><br />So they find the first of the three and after Lady Snowblood saves his life she kills him herself. He has a daughter who, of course, wants revenge too. But this won\'t be dealt with till the very end. Then they locate the second villain but Lady Snowblood finds out that he has died and won\'t be able to kill him herself. She takes it out on his grave but this is noticed by a man who was there and he starts searching for her to find out what was this all about. When he confronts her it turns out he is the owner of a local newspaper and wants to write her story but she tells him to forget it and leave her alone.<br /><br />Surprisingly, the next scene shows us the newspaper being printed with details of Lady Snowblood\'s quest. How did he find out? Well, he probably read the script. Actually people close to the heroine give him the story in order to set a trap for the last remaining villain - the woman. They explain to lady Snowblood that they know this newspaper man well and trust him. In fact they know him for more than 10 years, yet nobody knows that he is the son of the second villain that is supposed to be dead. I guess they know him really well.<br /><br />Anyway, the trap works and the woman that they are searching for comes out of hiding. Lady Snowblood tries to kill her, she escapes, and while searching for her they find her hanging from the ceiling. So it seems revenge has been exacted but soon after we find out that the second villain who was supposed to be dead is actually alive. He goes to the newspaper man - who turns out to be his son - to tell him just that: that he is alive. Well that isn\'t a big surprise - it could not be any other way if Lady Snowblood is to fulfill her life\'s purpose - what is a big surprise is that a man who staged his own death and knows there is a woman out to get him just comes out of hiding to inform a man, who is obviously close to his enemy, that he is alive. He even tells him where he lives so that they don\'t waste time searching for him. <br /><br />Then we go to the grand finale where the newspaper man sacrifices himself for Lady Snowblood to kill his father. And as Lady Snowblood leaves the building the first villain\'s daughter appears out of nowhere (how on earth did she know where to find her?) and kills her. THE END.<br /><br />Throughout the movie characters which seemingly played a big part in the heroine\'s life just pop up out of nowhere (like the lady who trained Lady Snowblood to be a thief) and are as easily dismissed seconds later. And the worst part of it is than even the action scenes weren\'t any good. Short, void of any special skill, just plain boring. And Lady Snowblood doesn\'t convince that she is able to handle a sword - let alone be a killing machine. <br /><br />This is the first time I feel compelled to write so many bad things about a movie. I usually try to find redeeming qualities in just about any movie I watch but this one has close to none. In short, avoid this movie. I\'m certain there are much better movies with the same theme out there (come to think of it ANY movie with a similar theme is bound to be better than this one).'",2
"b""I saw this movie by accident and i love it since.<br /><br />I got the DVD and in quiet moments I dig it out and watch it again...<br /><br />It's one of those rare films that keeps you watching while the story is flying by. The Characters fits the story and I also like the energy between the characters. The chosen music is excellent and keeps everything together.<br /><br />I wouldn't say it's realistic, that a boy rapes an unconscious women. But who never dreamed of an unconscious girl..:P <br /><br />In the end Julietta tries to make everything work and that makes her character even more appealing. <br /><br />I love the persons and the Music. Great Film.<br /><br />And to the others, who always compare one film with another: Live is not that easy to compare. Like the title says. Greetings""",2
"b""This movie makes some odd choices. On the one hand it's a good looking and also clearly professionally made movie with lots of talent involved but it just makes some wrong choices in its storytelling.<br /><br />The movie obviously starts of as a dramatic 'based on true' events movie but soon as the movie starts to progresses it starts taking some obvious 'Hollywood' turns, with its emotions and action and the story becomes more unlikely and clich\xc3\xa9d. Of course nothing wrong with this, since it definitely makes the movie an entertaining and bit of adventurous one. But in this case the approach doesn't really work out, since it also obviously is a movie that wants to be taken seriously and has a clear message in it. You know, the kind of message to 'save the rain forest'. It also uses lots of technology vs. nature elements. I'll admit that this movie is a better attempt than all Steven Seagal attempts combined but no, that doesn't mean that this movie is a perfect or truly successful attempt on its own. The movie seems to lack the proper emotions to see this as a completely effective one, though the right intentions are definitely there. I mean for instance, the characters within this movie see each other again for the first time in 10 years but yet they seem hardly affected by it all.<br /><br />The natives scenes also aren't always among the best or most interesting one's out of the movie. Sure the nature environments are beautiful looking but it slows the movie a bit down in the middle, which also is in big contrast with the serious and dramatic first part of the movie and the action filled final part. The entire movie doesn't always feel like one whole. The parts of it are all too disjointed.<br /><br />It nevertheless it is a rather good- and also entertaining enough movie to watch, despite its obvious flaws and bad choices in the storytelling. And hey, it's got Powers Booth!<br /><br />7/10""",2
"b""More poo than Poe, this tiresome horror sees scaredy cat Bela Lugosi arrive at the home of his old enemy Boris Karloff with smug honeymooners David Manners and Julie Bishop. There's some fun in seeing Frankenstein and Dracula duff each other up, I suppose, but other than that there's little to hold the attention. Nothing much happens, and the 70 minute running time seems twice as long. Lamest of all is the film's dubious morality: no one blinks an eye when an otherwise likable Lugosi knifes a cat; and the ending sees Manners and Bishop enjoying one of those it's-all-over-now, ho-ho epilogues after they've accidentally shot Lugosi in the back and made a run for it while everyone else explodes. It's all very tiresome.""",2
"b'I saw this movie in my international cinema class and was grossed out from get go. This movie is nothing but one scene of blatant shock value after the next.<br /><br />The 4th Man is about an alcoholic writer named Reve, who has visions of his in-pending danger. He meets up with a woman named Christine when giving a lecture at a local book club, and only decides to stay with her when he discovers how attractive her boyfriend is. To put it plainer, Reve likes the Dutch sausage. So Reve concocts a plan to seduce Christine\'s boyfriend so he can ultimately have sex with him. But its later discovered that Christine has had 3 previous husbands, who she all murdered. Now Reve and Christine\'s boyfriend could be ""THE 4TH MAN."" The storyline makes sense with no plot holes. The editing and everything else that is technical about this movie is perfectly fine. The movie is just gross and I felt the need to vomit in some parts. Basically, this isn\'t my cup of tea.<br /><br />The movie opens with Reve getting out of bed in JUST a t-shirt. So in the very beginning, you get to see Reve\'s lovely pecker flopping around as he walks around his cramped apartment in a hangover state. Later on he has a dream where his pecker gets cut off by a pair of scissors, and they do show it along with the blood fountain that ensues. Reve fondles a statue of Jesus and has homosexual sex in a mausoleum. Plus there\'s a lot of blood. More blood than all the Freddy Krueger movies combined.<br /><br />Not that I have anything against ""shocking"" scenes, but this movie is just so blatant when it comes to shocking. The whole movie is revolved around the shock value.<br /><br />So if any of this is your cup of tea, watch this movie. Otherwise, stay far far far far far away from this one. My mind is still scarred.'",0
"b""I rented this because it was written by Ross Thomas, and I'm a huge fan of his novels. I wanted to see how his ideas were put on the screen. The story line and plot twists are very Thomas, but the characters seemed a little one-dimensional. He is great at building characters in his novels, but there just isn't enough time to do that in a movie. I needed to see vulnerability in each character, when all that was given was cold calculation (which even the hardest CIA agent is NOT).<br /><br />The sex scenes seemed forced, and I bet that they weren't in the original script. Thomas doesn't need to use sex to relate characters to each other, but it's a quick 'gimmie' for the film.<br /><br />I recommend this movie to any Ross Thomas fan, especially given that it was probably the last thing he wrote before he died. Otherwise, watch it if you're into mystery, but know that it's not very thrilling, and can move slowly at times.""",2
"b""Joan Crawford is miscast as a wealthy American widow who relocates to London and mixes it up with the high society Brits. Lethargic comedy, previously filmed in 1929 with Norma Shearer, does have one plot twist, though many viewers may tire and tune out by the time it is revealed. First-half is so slow setting up the story, I could easily understand why this was such a flop in 1937. The second-half does improve, with jazzy supporting performances including Frank Morgan's as a befuddled would-be suitor (he's very funny). As for Crawford, she's too tough and inflexible for this kind of flippant character. Originally based upon a play by Frederick Lonsdale, with the material's stage-origins are all too apparent. *1/2 from ****""",2
"b'This is a perfect example of a series that long outlived its usefulness. I loved Pinky and the Brain and watched the show almost religiously, but when some dunderhead at the WB decided to pair these mice with Elmyra, I was horrified. There was absolutely no reason to take them away from Acme Labs except that the show had just run out of ideas. This was an example of the expression ""jumping the shark""--it was obvious it was all downhill for the show from then until its cancellation--and with crappy episodes without the original formula, it wasn\'t long before the show breathed its last. Frankly, I just found it embarrassing to watch towards the end. My recommendation is never watch this incarnation of the show and use massive amounts of denial. Convince yourselves and others it never occurred---the ONLY shows that ever existed were Animaniacs and Pinky and the Brain. They NEVER paired the mice with Elmyra--no, never!!'",2
"b""This movie is about a young scientist who creates a serum that re-animates the dead. He first uses it on his brother when he is shot dead in a drive by. His brother then infects the other gang members.In some scenes the zombies are seen walking very slowly and in other scenes they run pretty fast which makes little sense. The acting is mediocre but the story doesn't help the film. The makeup consists of blood on the face of the zombies. The budget for this film I'm sure was very limited. I believe the film could have been better made had the story been more original and with a better budget. If you wan't to see a good zombie flick don't see this one.""",0
"b'The Ballad of Django is a meandering mess of a movie! This spaghetti western is simply a collection of scenes from other (and much better!) films supposedly tied together by ""Django"" telling how he brought in different outlaws. Hunt Powers (John Cameron) brings nothing to the role of Django. Skip this one unless you just HAVE to have every Django movie made and even THAT may not be a good enough excuse to see this one!!'",0
b'I am completely shocked that this show had been cancelled.Ity only lasted one year.I just recently started watching it and I love it.Its a show that could of gone as far as Friends went.It had the humour and was extremely enjoyable.<br /><br />It is about 2 brothers and 2 sisters living under one roof without their parents.Kurt(Joey Lawrence) plays the part of the oldest sibling and takes on the more fatherly role.<br /><br />This should of lasted much more than year as it was fantastic. Amazing show with all the best actors.<br /><br />10/10',1
"b""When I first saw this film on cable, it instantly became one of my favorite movies. I'm a big fan of James Earl Jones and Robert Duvall. The movie paints an accurate picture of the South and the racist attitudes. Most of the attitudes came from Soll, an old plantation owner who uses convicts for labor. Soll is what makes the move, his funny ramblings give us insights in to the way The South was back then. I suppose that if Soll lived today he would be diagnosed with Alzheimer's Disease. None the less his attitudes towards a little boy who comes to work for him and the convicts is complex. While he has racist views, he's grown to trust some of the convicts who are all black. The two convicts he trusts most are Jackson(Mel Winkler) and Ben(James Earl Jones). The conversations between Ben and Soll are the best in the movie, they have real chemistry. James Earl Jones and Mel Winkler both but in great performances as well as Hass.<br /><br />This movie should have gotten more notoriety. However it's on DVD and worth the money.<br /><br />Rayvyn""",1
"b'Spoilers I guess.<br /><br /> The absolutely absurd logic of the ending ruins the entire movie. I just couldn\'t get over it. And what is wrong with Mark Wahlberg\'s character? If I suddenly found myself crashed-landed on a planet full of talking apes, I\'d be all like, "" AAAAhhhhHHH!!! Run for your lives! The monkeys have inherited the Earth!"" But he\'s all like, ""talking apes, okay. Next?"" That\'s pretty jaded I\'d say. He must run into even stranger things on a regular basis. Besides that, this is Rick Baker\'s best work yet. This film is a true testament to how far we\'ve come in the monkey makeup field. 3/10.'",0
"b""This movie is incredible. If you have the chance, watch it. Although, a warning, you'll cry your eyes out. I do, every time I see it, and I own it and have watched it many times. The performances are outstanding. It deals with darkness and pain and loss, but there is hope. This movie made me look at the world differently: vicarious experience, according to my English teacher. Also, if you've seen it, note the interesting use of shadows and light. Home room is a phenomenal movie, and I rate it 10/10 - for real - because of the excellent acting, amazing plot, and heart-wrenching dialogue. Very tense, very moving. Doesn't give all the answers, but makes many good points about humankind""",1
